Organism                                                      Scaffold              Start    End      Score  LLS_Dehydrogenase  LLS_E1-like  LLS_LlsA  LLS_YcaO
Listeria monocytogenes MF7906                                 JAEQPQ010000035.1     437      5749     5.22   1                  1            1         1       
Listeria monocytogenes MF7889                                 JAEQQB010000006.1     90003    95315    5.22   1                  1            1         1       
Listeria monocytogenes MF7896                                 JAEQPX010000001.1     620567   625879   5.22   1                  1            1         1       
Listeria monocytogenes MF7892                                 JAEQPY010000005.1     121476   126788   5.22   1                  1            1         1       
Listeria monocytogenes MF7901                                 JAEQPT010000001.1     623279   628591   5.22   1                  1            1         1       
Listeria monocytogenes MF7891                                 JAEQPZ010000001.1     116999   122311   5.22   1                  1            1         1       
Listeria monocytogenes MF7913                                 JAEQPM010000002.1     2925     8237     5.22   1                  1            1         1       
Listeria monocytogenes MF7912                                 JAEQPN010000003.1     186485   191797   5.22   1                  1            1         1       
Listeria monocytogenes MF7975                                 JAEQNX010000001.1     622867   628179   5.22   1                  1            1         1       
Listeria monocytogenes MF7973                                 JAEQNY010000004.1     2455     7767     5.22   1                  1            1         1       
Listeria monocytogenes MF7926                                 JAEQPB010000001.1     595961   601273   5.22   1                  1            1         1       
Listeria monocytogenes MF7969                                 JAEQOA010000001.1     630025   635337   5.22   1                  1            1         1       
Listeria monocytogenes MF7990                                 JAEQNO010000001.1     630025   635337   5.22   1                  1            1         1       
Listeria monocytogenes MF7954                                 JAEQOJ010000001.1     595961   601273   5.22   1                  1            1         1       
Listeria monocytogenes MF7953                                 JAEQOK010000001.1     595961   601273   5.22   1                  1            1         1       
Listeria monocytogenes MF7938                                 JAEQOT010000001.1     595961   601273   5.22   1                  1            1         1       
Listeria monocytogenes MF7948                                 JAEQOO010000004.1     116526   121838   5.22   1                  1            1         1       
Listeria monocytogenes MF7930                                 JAEQOZ010000001.1     623279   628591   5.22   1                  1            1         1       
Listeria monocytogenes MF7935                                 JAEQOW010000001.1     630025   635337   5.22   1                  1            1         1       
Listeria monocytogenes MF7739                                 JAEQTI010000001.1     591956   597268   5.22   1                  1            1         1       
Listeria monocytogenes MF7240                                 JAEQZU010000001.1     592078   597390   5.22   1                  1            1         1       
Listeria monocytogenes MF7236                                 JAEQZV010000001.1     591959   597271   5.22   1                  1            1         1       
Listeria monocytogenes MF7228                                 JAEQZY010000001.1     591959   597271   5.22   1                  1            1         1       
Listeria monocytogenes MF7227                                 JAEQZZ010000002.1     3720     9032     5.22   1                  1            1         1       
Listeria monocytogenes MF7177                                 JAERAC010000001.1     591959   597271   5.22   1                  1            1         1       
Listeria monocytogenes MF7170                                 JAERAF010000001.1     591959   597271   5.22   1                  1            1         1       
Listeria monocytogenes MF7176                                 JAERAD010000001.1     591959   597271   5.22   1                  1            1         1       
Listeria monocytogenes MF7149                                 JAERAL010000001.1     591959   597271   5.22   1                  1            1         1       
Listeria monocytogenes MF7152                                 JAERAJ010000001.1     591959   597271   5.22   1                  1            1         1       
Listeria monocytogenes MF7042                                 JAERBC010000001.1     387384   392696   5.22   1                  1            1         1       
Listeria monocytogenes MF7105                                 JAERAO010000001.1     591956   597268   5.22   1                  1            1         1       
Listeria monocytogenes MF7107                                 JAERAN010000001.1     752343   757655   5.22   1                  1            1         1       
Listeria monocytogenes MF7068                                 JAERAU010000014.1     104      5416     5.22   1                  1            1         1       
Listeria monocytogenes MF7069                                 JAERAT010000051.1     378      3485     4.21   1                  1            0         1       
Listeria monocytogenes MF7066                                 JAERAW010000040.1     100      5412     5.22   1                  1            1         1       
Listeria monocytogenes MF7104                                 JAERAP010000001.1     591953   597265   5.22   1                  1            1         1       
Listeria monocytogenes MF7043                                 JAERBB010000001.1     2280     7592     5.22   1                  1            1         1       
Listeria monocytogenes MF7045                                 JAERAZ010000001.1     386303   391615   5.22   1                  1            1         1       
Listeria monocytogenes MF7039                                 JAERBF010000001.1     80541    85853    5.22   1                  1            1         1       
Listeria monocytogenes MF7034                                 JAERBK010000011.1     3689     9001     5.22   1                  1            1         1       
Listeria monocytogenes MF7037                                 JAERBH010000005.1     229524   234836   5.22   1                  1            1         1       
Listeria monocytogenes MF7036                                 JAERBI010000001.1     125110   130422   5.22   1                  1            1         1       
Listeria monocytogenes MF7028                                 JAERBQ010000011.1     2142     7454     5.22   1                  1            1         1       
Listeria monocytogenes MF7027                                 JAERBR010000001.1     591956   595063   4.21   1                  1            0         1       
Listeria monocytogenes MF7032                                 JAERBM010000014.1     80536    85848    5.22   1                  1            1         1       
Listeria monocytogenes MF7026                                 JAERBS010000001.1     378238   383550   5.22   1                  1            1         1       
Listeria monocytogenes MF6981                                 JAERBW010000001.1     591959   597271   5.22   1                  1            1         1       
Listeria monocytogenes MF7030                                 JAERBO010000001.1     387401   392713   5.22   1                  1            1         1       
Listeria monocytogenes MF7029                                 JAERBP010000009.1     154325   159637   5.22   1                  1            1         1       
Listeria monocytogenes MF2184                                 JAERFZ010000003.1     336021   341333   5.22   1                  1            1         1       
Listeria monocytogenes MF2181                                 JAERGC010000001.1     115560   120872   5.22   1                  1            1         1       
Listeria monocytogenes MF2182                                 JAERGB010000001.1     115560   120872   5.22   1                  1            1         1       
Listeria monocytogenes MF1342                                 JAERGY010000001.1     18556    23868    5.22   1                  1            1         1       
Listeria monocytogenes CDPHFDLB-FM17-00147                    REJH01000020.1        97       5409     5.22   1                  1            1         1       
Listeria monocytogenes TB0385                                 REHS01000004.1        198      5510     5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL004090                           REJZ01000001.1        3229     8541     5.22   1                  1            1         1       
Listeria monocytogenes FDA1020548-S046-001                    REJC01000012.1        5427     10739    5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL004018                           REJX01000001.1        445925   451237   5.22   1                  1            1         1       
Listeria monocytogenes FDA209261                              RELI01000001.1        594414   599726   5.22   1                  1            1         1       
Listeria monocytogenes FDA593556 37-6                         RELB01000002.1        80453    85765    5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL003959                           REKE01000001.1        292333   297645   5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL004075                           REMB01000003.1        2791     8103     5.22   1                  1            1         1       
Listeria monocytogenes J3552                                  RELT01000001.1        18419    23731    5.22   1                  1            1         1       
Listeria monocytogenes J2933                                  RELO01000016.1        24527    29838    5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL004088                           RELS01000025.1        47632    52944    5.22   1                  1            1         1       
Listeria monocytogenes FDA1036616-052-001                     RENV01000003.1        485      5797     5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL004125                           REOE01000001.1        24499    29811    5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL004124                           REOG01000002.1        3667     8979     5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL003060                           REPQ01000002.1        297      5609     5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL004182                           RERC01000002.1        181      5493     5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL004140                           REPN01000019.1        1885     4992     4.21   1                  1            0         1       
Listeria monocytogenes PNUSAL004014                           REQC01000027.1        160      5472     5.22   1                  1            1         1       
Listeria monocytogenes PHLUSALM00002                          RERR01000026.1        137      5449     5.22   1                  1            1         1       
Listeria monocytogenes FLAG-41283-A                           RERM01000001.1        114819   120131   5.22   1                  1            1         1       
Listeria monocytogenes FLAG-41283-B                           RERN01000013.1        187      5499     5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL004117                           REQV01000042.1        35       5347     5.22   1                  1            1         1       
Listeria monocytogenes FSLS4-0270                             RESY01000001.1        0        3563     4.10   1                  1            1         0       
Listeria monocytogenes PNUSAL004209                           RESS01000025.1        179      5491     5.22   1                  1            1         1       
Listeria monocytogenes FSLF3-0296                             REUP01000002.1        118203   123515   5.22   1                  1            1         1       
Listeria monocytogenes FDA629697 61-1                         REVM01000001.1        623856   629168   5.21   1                  1            1         1       
Listeria monocytogenes FDA629697 46-1                         REVL01000001.1        623856   629168   5.21   1                  1            1         1       
Listeria monocytogenes FSIS31800872                           REVF01000001.1        581459   586771   5.22   1                  1            1         1       
Listeria monocytogenes FSLN1-017                              RETU01000001.1        759003   764315   5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL004164                           RESJ01000001.1        114765   120077   5.22   1                  1            1         1       
Listeria monocytogenes L115                                   JAMKII010000001.1     18496    23808    5.22   1                  1            1         1       
Listeria monocytogenes L104                                   JAMKIB010000003.1     265836   271148   5.22   1                  1            1         1       
Listeria monocytogenes L119                                   JAMKIM010000001.1     18511    23823    5.22   1                  1            1         1       
Listeria monocytogenes L155                                   JAMKJJ010000001.1     636890   642201   5.22   1                  1            1         1       
Listeria monocytogenes L160                                   JAMKJP010000001.1     594431   599743   5.22   1                  1            1         1       
Listeria monocytogenes L164                                   JAMKJR010000001.1     636890   642201   5.22   1                  1            1         1       
Listeria monocytogenes L164                                   NZ_JACOFE010000001.1  591914   597226   5.22   1                  1            1         1       
Listeria monocytogenes L166                                   JAMKJT010000001.1     636890   642201   5.22   1                  1            1         1       
Listeria monocytogenes L167                                   JAMKJU010000001.1     636890   642201   5.22   1                  1            1         1       
Listeria monocytogenes L169                                   JAMKJW010000001.1     629728   635040   5.22   1                  1            1         1       
Listeria monocytogenes L192                                   JAMKKN010000001.1     636890   642202   5.22   1                  1            1         1       
Listeria monocytogenes L218                                   JAMKLE010000001.1     595893   601205   5.22   1                  1            1         1       
Listeria monocytogenes L88                                    JAMKMG010000001.1     18520    23832    5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL004193                           RESO01000001.1        146715   152027   5.22   1                  1            1         1       
Listeria monocytogenes FSLF6-386                              RETK01000001.1        760721   766033   5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL004194                           RESK01000007.1        12       5324     5.22   1                  1            1         1       
Listeria monocytogenes I1803917                               REXR01000024.1        24499    29811    5.22   1                  1            1         1       
Listeria monocytogenes FDA0266005-S006-001                    REXC01000001.1        909749   915061   5.22   1                  1            1         1       
Listeria monocytogenes FDA1077604-C001-001                    REXZ01000001.1        114738   120050   5.22   1                  1            1         1       
Listeria monocytogenes FDA0266005-S006-002                    REYA01000001.1        659914   665226   5.22   1                  1            1         1       
Listeria monocytogenes 05B10259C-1                            REXQ01000031.1        138      5450     5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL004183                           REYI01000026.1        81       5393     5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL004224                           REZD01000029.1        19782    25094    5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL004245                           RFAJ01000001.1        114720   120032   5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL004253                           REZZ01000001.1        630489   635801   5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL004262                           RFAM01000001.1        80432    85744    5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL004267                           RFAG01000035.1        1120     3816     4.18   1                  1            0         1       
Listeria monocytogenes PNUSAL004259                           RFAC01000007.1        3628     8940     5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL004242                           REZQ01000001.1        135298   140610   5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL004250                           REZV01000052.1        479      3586     4.21   1                  1            0         1       
Listeria monocytogenes PNUSAL004227                           REZG01000001.1        114774   120086   5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL004271                           RFAK01000001.1        114792   120104   5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL004243                           REZN01000005.1        3642     8954     5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL004226                           RFAI01000002.1        264      5576     5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL004260                           RFAL01000001.1        114828   120140   5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL004171                           REYY01000009.1        24504    29816    5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL004225                           REZE01000004.1        3659     8971     5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL004188                           RFAV01000026.1        13685    18997    5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL004246                           RFAS01000001.1        185363   190675   5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL004265                           RFAU01000003.1        135      5447     5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL004311                           RHJF01000043.1        379      3486     4.21   1                  1            0         1       
Listeria monocytogenes FSIS11813549                           RHJD01000001.1        634691   640003   5.22   1                  1            1         1       
Listeria monocytogenes 2018.TE.481.1.1                        JARNGC010000001.1     873159   878471   5.22   1                  1            1         1       
Listeria monocytogenes 2018.TE.479.1.1                        JARNGA010000001.1     639836   645148   5.22   1                  1            1         1       
Listeria monocytogenes 2018.TE.477.1.1                        JARNFY010000001.1     640558   645870   5.22   1                  1            1         1       
Listeria monocytogenes 2018.TE.475.1.1                        JARNFW010000001.1     640683   645995   5.22   1                  1            1         1       
Listeria monocytogenes 2018.TE.474.1.1                        JARNFV010000001.1     873159   878471   5.22   1                  1            1         1       
Listeria monocytogenes 2018.TE.2713.1.1                       JARNFT010000001.1     873159   878471   5.22   1                  1            1         1       
Listeria monocytogenes 2018.TE.2712.1.1                       JARNFS010000001.1     608353   613665   5.22   1                  1            1         1       
Listeria monocytogenes 2017.TE.9618.1.1                       JARNEO010000001.1     640562   645874   5.22   1                  1            1         1       
Listeria monocytogenes 2017.TE.9613.1.1                       JARNEJ010000001.1     639836   645148   5.22   1                  1            1         1       
Listeria monocytogenes 2017.TE.27098.1.1                      JARNEB010000001.1     640558   645870   5.22   1                  1            1         1       
Listeria monocytogenes 2017.TE.27094.1.1                      JARNDX010000001.1     640765   646077   5.22   1                  1            1         1       
Listeria monocytogenes 2017.TE.27091.1.1                      JARNDU010000001.1     608353   613665   5.22   1                  1            1         1       
Listeria monocytogenes 2017.TE.10650.1.1                      JARNCM010000001.1     640683   645995   5.22   1                  1            1         1       
Listeria monocytogenes 2017.TE.10638.1.1                      JARNCF010000001.1     640684   645996   5.22   1                  1            1         1       
Listeria monocytogenes 2017.TE.10637.1.1                      JARNCE010000001.1     640558   645870   5.22   1                  1            1         1       
Listeria monocytogenes 2016.TE.25225.1.1                      JARNBZ010000001.1     608353   613665   5.22   1                  1            1         1       
Listeria monocytogenes 2016.TE.29620.1.1                      JARNCD010000001.1     640559   645871   5.22   1                  1            1         1       
Listeria monocytogenes 2016.TE.25227.1.1                      JARNCB010000001.1     639838   645150   5.22   1                  1            1         1       
Listeria monocytogenes 2016.TE.25224.1.1                      JARNBY010000001.1     873159   878471   5.22   1                  1            1         1       
Listeria monocytogenes 2016.TE.25226.1.1                      JARNCA010000001.1     873159   878471   5.22   1                  1            1         1       
Listeria monocytogenes 2016.TE.25223.1.1                      JARNBX010000001.1     873159   878471   5.22   1                  1            1         1       
Listeria monocytogenes 2016.TE.25221.1.1                      JARNBV010000001.1     640559   645871   5.22   1                  1            1         1       
Listeria monocytogenes 2016.TE.25222.1.1                      JARNBW010000001.1     640559   645871   5.22   1                  1            1         1       
Listeria monocytogenes 2016.TE.25220.1.1                      JARNBU010000001.1     608353   613665   5.22   1                  1            1         1       
Listeria monocytogenes 2016.TE.25219.1.1                      JARNBT010000001.1     640683   645995   5.22   1                  1            1         1       
Listeria monocytogenes LM12                                   JAUJYB010000006.1     116812   122124   5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL003835                           RLMK01000001.1        3674     8986     5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL004432                           RLPA01000004.1        401373   406667   3.16   1                  0            1         1       
Listeria monocytogenes PNUSAL004475                           RLVL01000022.1        22078    27390    5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL004459                           RLWN01000001.1        631116   636428   5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL004480                           RNCZ01000011.1        96133    101445   5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL004489                           RNDQ01000010.1        140      5452     5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL004466                           RORH01000001.1        152566   157878   5.22   1                  1            1         1       
Listeria monocytogenes FDA1077798-014-008                     ROTY01000050.1        45       5357     5.22   1                  1            1         1       
Listeria monocytogenes FDA451362 C1 3-O                       RSLW01000001.1        872777   878089   5.22   1                  1            1         1       
Listeria monocytogenes FDA631776 54-1                         RSLM01000006.1        80509    85821    5.22   1                  1            1         1       
Listeria monocytogenes FDA863766 S15                          RSMF01000001.1        634719   640031   5.22   1                  1            1         1       
Listeria monocytogenes CFSAN060199                            RSNB01000002.1        18437    23749    5.22   1                  1            1         1       
Listeria monocytogenes TX-866425.COMP.4                       RSRV01000003.1        3627     8939     5.22   1                  1            1         1       
Listeria monocytogenes FLAG-51657                             RSUW01000001.1        82119    87431    5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL004398                           RUHY01000001.1        593982   599294   5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL004306                           RULN01000029.1        24772    30084    5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL004451                           RUTF01000028.1        18667    23979    5.22   1                  1            1         1       
Listeria monocytogenes 2015L-6719                             RWAV01000001.1        580490   585802   5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL000059                           SATJ01000001.1        288367   293679   5.22   1                  1            1         1       
Listeria monocytogenes LL17/3                                 JABYRY010000002.1     421167   426479   5.22   1                  1            1         1       
Listeria monocytogenes LL67/1                                 JABYRX010000003.1     346      5658     5.22   1                  1            1         1       
Listeria monocytogenes LA22                                   JABYRW010000001.1     422487   427799   5.22   1                  1            1         1       
Listeria monocytogenes JHM230                                 JABYRZ010000001.1     458117   463429   5.22   1                  1            1         1       
Listeria monocytogenes 2920                                   JABYSL010000001.1     572710   578022   5.22   1                  1            1         1       
Listeria monocytogenes 2919                                   JABYSN010000001.1     238255   243567   5.22   1                  1            1         1       
Listeria monocytogenes 3129                                   JABYSM010000001.1     595980   601292   5.22   1                  1            1         1       
Listeria monocytogenes LSO885/1                               JABYST010000001.1     36549    41861    5.22   1                  1            1         1       
Listeria monocytogenes L94s                                   JABYSW010000001.1     36549    41861    5.22   1                  1            1         1       
Listeria monocytogenes LML44                                  JABYSV010000001.1     3099     8411     5.22   1                  1            1         1       
Listeria monocytogenes LM115                                  JABYSU010000001.1     759160   764472   5.22   1                  1            1         1       
Listeria monocytogenes N13-0047                               JABYWZ010000001.1     592802   598114   5.22   1                  1            1         1       
Listeria monocytogenes N12-2185                               JABYXC010000001.1     903846   909158   5.22   1                  1            1         1       
Listeria monocytogenes N12-1916                               JABYXE010000001.1     910130   915442   5.22   1                  1            1         1       
Listeria monocytogenes N12-1665                               JABYXJ010000001.1     592955   598267   5.22   1                  1            1         1       
Listeria monocytogenes N12-0341                               JABYXY010000001.1     115355   120667   5.22   1                  1            1         1       
Listeria monocytogenes LmE153                                 JABYYJ010000001.1     143326   148638   5.22   1                  1            1         1       
Listeria monocytogenes LmE154                                 JABYYI010000001.1     872821   878133   5.22   1                  1            1         1       
Listeria monocytogenes Lm LL195                               JABYYM010000001.1     18556    23868    5.22   1                  1            1         1       
Listeria monocytogenes Lm LL201                               JABYYL010000001.1     592845   598157   5.22   1                  1            1         1       
Listeria monocytogenes Lm 49                                  JABYYQ010000001.1     592338   597650   5.22   1                  1            1         1       
Listeria monocytogenes N12-1914                               JABYZP010000001.1     114258   119570   5.22   1                  1            1         1       
Listeria monocytogenes N12-1609                               JABYZQ010000001.1     617342   622654   5.22   1                  1            1         1       
Listeria monocytogenes N12-2025                               JABYZO010000001.1     114267   119579   5.22   1                  1            1         1       
Listeria monocytogenes N12-2387                               JABYZN010000001.1     639015   644327   5.22   1                  1            1         1       
Listeria monocytogenes Lm 9                                   JABZAA010000001.1     595962   601274   5.22   1                  1            1         1       
Listeria monocytogenes LmE212                                 JABYZY010000001.1     649798   655110   5.22   1                  1            1         1       
Listeria monocytogenes LmSB1                                  JABYZW010000001.1     617364   622676   5.22   1                  1            1         1       
Listeria monocytogenes Lm 45                                  JABZAC010000001.1     594417   599729   5.22   1                  1            1         1       
Listeria monocytogenes Lm 5                                   JABZAB010000001.1     596006   601318   5.22   1                  1            1         1       
Listeria monocytogenes Lm 19                                  JABZAD010000001.1     630232   635544   5.22   1                  1            1         1       
Listeria monocytogenes Lm 57                                  JABZEA010000001.1     759637   764949   5.22   1                  1            1         1       
Listeria monocytogenes FDA00009837                            MRYJ01000040.1        542      5854     5.22   1                  1            1         1       
Listeria monocytogenes FDA00008730                            LYXY01000001.1        630210   633317   4.21   1                  1            0         1       
Listeria monocytogenes CFSAN049202                            NXPR01000014.1        116525   121837   5.22   1                  1            1         1       
Listeria monocytogenes CFSAN045924                            NXWS01000004.1        590585   595897   5.22   1                  1            1         1       
Listeria monocytogenes IN-TR-1-BL1                            VTKJ01000001.1        608354   613665   5.22   1                  1            1         1       
Listeria monocytogenes M1                                     NZ_JARWJI010000001.1  290961   296273   5.22   1                  1            1         1       
Listeria monocytogenes 07PF0776                               NC_017728.1           1123740  1129052  5.22   1                  1            1         1       
Listeria monocytogenes 07PF0776                               CP003414.1            1125945  1129052  4.21   1                  1            0         1       
Listeria monocytogenes FDA610470 21-1                         AAALKI010000004.1     19638    24950    5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL001608                           AAAPLT010000031.1     13094    18406    5.22   1                  1            1         1       
Listeria monocytogenes CIIMS-PH-1                             NZ_CP023321.1         1127232  1132544  5.21   1                  1            1         1       
Listeria monocytogenes CIIMS-PH-1                             CP023321.1            1127232  1131238  4.13   1                  1            1         0       
Listeria monocytogenes BW170175                               NZ_JAFIPR010000001.1  592146   597457   5.22   1                  1            1         1       
Listeria monocytogenes FDA0399984-000-000                     AAAMOX010000001.1     114831   120143   5.22   1                  1            1         1       
Listeria monocytogenes FDA1030376-002-002                     AAAXAJ010000001.1     114831   120143   5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL003753                           AAAXKI010000001.1     114849   120161   5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL003752                           AAAXNG010000004.1     115194   120506   5.22   1                  1            1         1       
Listeria monocytogenes 1558489                                ABESKY010000001.1     18419    23731    5.22   1                  1            1         1       
Listeria monocytogenes 1746700                                ABJIQD010000008.1     18419    23731    5.22   1                  1            1         1       
Listeria monocytogenes 1746701                                ABJIQC010000008.1     18419    23731    5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL016347                           ABKDRA010000001.1     114849   120161   5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL017414                           ABLUNP010000001.1     591489   596801   5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL019805                           ABOWSI010000001.1     114831   120143   5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL020422                           ABQBLU010000001.1     114809   120121   5.22   1                  1            1         1       
Listeria monocytogenes N28                                    DAFBLW010000001.1     114809   120121   5.22   1                  1            1         1       
Listeria monocytogenes 90SB1                                  DAFBOC010000003.1     278      5589     5.22   1                  1            1         1       
Listeria monocytogenes Lm125-SL1                              DAFBOF010000003.1     162      5473     5.22   1                  1            1         1       
Listeria monocytogenes R19.1579                               DAJOEC010000001.1     18431    23743    5.22   1                  1            1         1       
Listeria monocytogenes CFSAN007940                            AAAQGT010000006.1     259      5571     5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL003896                           AABCMY010000054.1     50       5362     5.22   1                  1            1         1       
Listeria monocytogenes 103932                                 AAARUH010000001.1     592404   597716   5.22   1                  1            1         1       
Listeria monocytogenes 103931                                 AAASXF010000001.1     591909   597221   5.22   1                  1            1         1       
Listeria monocytogenes 103933                                 AAASXO010000001.1     591909   597221   5.22   1                  1            1         1       
Listeria monocytogenes ADRDL-118958                           ABLSWG010000001.1     591900   597212   5.22   1                  1            1         1       
Listeria monocytogenes CFSAN092731                            AAQPFK010000001.1     909751   915063   5.22   1                  1            1         1       
Listeria monocytogenes CFSAN092728                            AAQRRT010000001.1     909751   915063   5.22   1                  1            1         1       
Listeria monocytogenes FSIS1504778                            AAAXZH010000001.1     114707   120019   5.22   1                  1            1         1       
Listeria monocytogenes FSIS1504777                            AAAXZM010000001.1     114736   120048   5.22   1                  1            1         1       
Listeria monocytogenes Ulm_50                                 AANCNM010000001.1     321      5633     5.22   1                  1            1         1       
Listeria monocytogenes 668733                                 AAAOCI010000001.1     18419    23731    5.22   1                  1            1         1       
Listeria monocytogenes 678560                                 ABBTHD010000002.1     18419    23731    5.22   1                  1            1         1       
Listeria monocytogenes 104975                                 AAASYC010000001.1     361546   366858   5.22   1                  1            1         1       
Listeria monocytogenes AG21-0121                              ABCBSG010000001.1     593502   598814   5.22   1                  1            1         1       
Listeria monocytogenes AG21-0122                              ABCBTG010000001.1     593502   598814   5.22   1                  1            1         1       
Listeria monocytogenes AG21-0213                              ABEHMW010000001.1     593510   598822   5.22   1                  1            1         1       
Listeria monocytogenes AG21-0249                              ABEHNM010000001.1     593510   598822   5.22   1                  1            1         1       
Listeria monocytogenes AG21-0247                              ABEHNP010000001.1     593510   598822   5.22   1                  1            1         1       
Listeria monocytogenes AG21-0248                              ABEHOV010000001.1     168646   173958   5.22   1                  1            1         1       
Listeria monocytogenes 08B02171M-1                            AAVXRZ010000001.1     18419    23731    5.22   1                  1            1         1       
Listeria monocytogenes FDA1236493-S004-001                    ABOQDJ010000001.1     116404   121716   5.22   1                  1            1         1       
Listeria monocytogenes FDA1236493-S007-003                    ABOQDO010000001.1     116485   121797   5.22   1                  1            1         1       
Listeria monocytogenes FDA1236493-S005-003                    ABOQDM010000001.1     116405   121717   5.22   1                  1            1         1       
Listeria monocytogenes FDA1236493-S007-001                    ABOQDR010000001.1     116499   121811   5.22   1                  1            1         1       
Listeria monocytogenes FDA1172995-S015-026                    ABPHLF010000001.1     116485   121797   5.22   1                  1            1         1       
Listeria monocytogenes FSL N3-0897                            AAZEBP010000001.1     658678   663990   5.22   1                  1            1         1       
Listeria monocytogenes L312                                   NC_018642.1           1126984  1132296  5.22   1                  1            1         1       
Listeria monocytogenes L312                                   FR733642.2            1129189  1132296  4.21   1                  1            0         1       
Listeria monocytogenes RF06                                   NZ_BRCC01000023.1     21484    26796    5.22   1                  1            1         1       
Listeria monocytogenes N2306                                  NZ_CP011004.1         1246455  1251767  5.22   1                  1            1         1       
Listeria monocytogenes N2306                                  CP011004.1            1248660  1251767  4.21   1                  1            0         1       
Listeria monocytogenes LM42                                   NZ_CP076626.1         1783610  1788921  5.22   1                  1            1         1       
Listeria monocytogenes LM42                                   CP076626.1            1783610  1786717  4.21   1                  1            0         1       
Listeria monocytogenes LM05-00190                             NZ_CYUT01000003.1     22830    28141    5.22   1                  1            1         1       
Listeria monocytogenes LM05-00190                             CYUT01000003.1        25034    28141    4.21   1                  1            0         1       
Listeria monocytogenes LM08-01408                             NZ_CYWI01000011.1     3866     9178     5.22   1                  1            1         1       
Listeria monocytogenes LM08-01408                             CYWI01000011.1        3866     6973     4.21   1                  1            0         1       
Listeria monocytogenes LM09-00558                             NZ_CYWW02000006.1     21606    26918    5.22   1                  1            1         1       
Listeria monocytogenes LM09-00558                             CYWW02000006.1        21606    24713    4.21   1                  1            0         1       
Listeria monocytogenes 2842STDY5753994                        NZ_FFEK01000001.1     595506   600818   5.22   1                  1            1         1       
Listeria monocytogenes 2842STDY5753994                        FFEK01000001.1        595506   598613   4.21   1                  1            0         1       
Listeria monocytogenes 2842STDY5753995                        NZ_FFGG01000001.1     621465   626777   5.22   1                  1            1         1       
Listeria monocytogenes 2842STDY5753995                        FFGG01000001.1        623670   626777   4.21   1                  1            0         1       
Listeria monocytogenes PV150116                               NZ_JABELT010000001.1  596232   601544   5.21   1                  1            1         1       
Listeria monocytogenes PV150116                               JABELT010000001.1     596232   601544   5.22   1                  1            1         1       
Listeria monocytogenes 2014L-6438                             NZ_JABXLS010000004.1  588008   593320   5.22   1                  1            1         1       
Listeria monocytogenes L58                                    NZ_JACOEQ010000001.1  118094   123406   5.22   1                  1            1         1       
